id,name,nature,culture,entertainment,food,activity,tags,latitude,longitude,image_url,district
146,妙崇寺,0.5,1,0.1,0.1,0.3,"廟宇,風景",23.01072623,120.6692065,https://www.maolin-nsa.gov.tw/_api/content/images/attractions/55304/1024x768_attractions-image-hwk-zcppakecoicxkd5eoa.jpg,六龜區
147,寶來妙通寺,0.6,1,0.1,0.1,0.3,"廟宇,風景",23.10079158,120.6856296,https://www.maolin-nsa.gov.tw/_api/content/images/attractions/55289/1024x768_attractions-image-01l_ngg_c064jwlvtapl2q.jpg,六龜區
148,那瑪夏民權國小,0.7,0.8,0.2,0.1,0.3,"建築,風景,打卡點",23.2487372,120.702865,https://www.delta-foundation.org.tw/upload/care/201909191646116849.jpg?w=500,那瑪夏區
149,援中港生態濕地公園,1,0.3,0.2,0.1,0.5,"風景,生態",22.7209913,120.2587512,https://khh.travel/image/545/1024x768,楠梓區
150,寶來溫泉區,0.9,0.3,0.8,0.6,0.4,"溫泉,放鬆,度假",23.1054,120.7013,https://khh.travel/image/20494/1024x768,六龜區
151,哨船頭山碉堡,0.6,0.8,0.2,0.1,0.4,"古蹟,風景",22.61933312,120.2683454,https://khh.travel/image/2000/1920x1080,鼓山區
152,裕賀牛觀光工廠,0.1,0.5,0.8,0.9,0.3,"觀光工廠,美食,牛排",22.77024558,120.383005,https://www.taiwanplace21.org.tw/factoryupload/Factory/FacImg230809052338_P0.png,燕巢區
153,壽山Love情人觀景台,0.9,0.2,0.4,0.1,0.4,"風景,打卡點,夜景",22.62542615,120.2741475,https://khh.travel/image/20091/1920x1080,鼓山區
154,高雄市文化中心,0.4,0.9,0.4,0.3,0.3,"藝文,活動,市集",22.62577764,120.3180683,https://upload.wikimedia.org/wikipedia/commons/9/9f/%E9%AB%98%E9%9B%84%E5%B8%82%E6%96%87%E5%8C%96%E4%B8%AD%E5%BF%83%E6%AD%A3%E9%96%80_20100130.jpg,苓雅區
155,壽山動物園,0.8,0.4,0.9,0.4,0.6,"親子,娛樂,動物",22.63455785,120.2751712,https://khh.travel/image/42178/1024x768,鼓山區
156,岡山228和平紀念公園,0.8,0.7,0.2,0.1,0.4,"風景,紀念",22.79777703,120.3030555,https://khh.travel/image/1292/1024x768,岡山區
157,彌陀海濱遊樂區,0.9,0.3,0.6,0.4,0.6,"海邊,親子,玩水",22.78201491,120.2253121,https://khh.travel/image/55725/1920x1080,彌陀區
158,東門樓,0.4,0.9,0.2,0.1,0.3,"古蹟,美濃",22.89567074,120.5488615,https://i.epochtimes.com/assets/uploads/2024/07/id14298797-shutterstock_2290204829.jpg,美濃區
159,東便門,0.3,0.9,0.2,0.1,0.2,古蹟,22.62146348,120.3630932,https://khh.travel/image/20026/1920x1080,鳳山區
160,統一夢時代購物中心,0.2,0.4,1,0.9,0.5,"購物,娛樂,美食,摩天輪",22.59486586,120.3057535,https://mediaim.expedia.com/destination/1/7db40e743d431b6d13cc709358282a6e.jpg,前鎮區
161,高雄文學館,0.3,0.9,0.2,0.1,0.1,"藝文,室內,閱讀",22.62550001,120.2979774,https://img.ltn.com.tw/Upload/news/600/2020/07/08/3221765_3_1.jpg,前金區
